Woord;Horen;Zien;Ruiken;Proeven;Voelen;Sensaties;Modality;ModalityExclusivity;MaxPercStrength;AvModalityStrength;Minkowski3;Concreteness;ConcretenessCategory;Imageability;ImageabilityCategory;SourceImageability;Frequency;Prevalence;Length;Nsyl;N_phonemes;PoS;OLD20;DLP_RT;DLP_Acc;DCP_RT;DCP_Acc
logo;0,27;4,36;0,00;0,00;1,64;0,55;Zien;0,64;4,36;1,14;4,442116985;3,466666667;high;#N/B;#N/B;#N/B;84;2,888647021;4;2;4;N;1,7;535,84;0,975609756;975,35;1
logopedie;3,09;1,55;0,00;0,00;0,45;0,36;Horen;0,566666667;3,09;0,91;3,21924873;2,133333333;low;3,77;low;van Loon;0;2,528449499;9;4;8;N;3,7;598,71;0,95;1182,72;1
logopedist;2,45;2,91;0,18;0,00;0,82;0,45;Zien;0,426666667;2,91;1,14;3,421514268;3,533333333;high;#N/B;#N/B;#N/B;4;2,630364805;10;4;10;N;3,75;563,46;0,95;1209,8;0,99
lok;0,55;2,36;0,27;0,00;1,36;0,18;Zien;0,5;2,36;0,79;2,516129125;4,153846154;high;6,17;high;van Loon;108;1,870450677;3;1;3;N;1;533,87;0,731707317;1150,42;0,97
lokaal;0,40;3,70;0,30;0,10;0,70;0,00;Zien;0,711538462;3,7;0,87;3,710561497;3,533333333;high;6,23;high;van Loon;254;3,187015333;6;2;5;N;1,85;524,60;1;968,81;1
lokaas;0,73;3,00;0,73;0,18;0,45;0,27;Zien;0,525423729;3;0,89;3,032591201;3,533333333;high;4,37;high;van Loon;258;2,526108424;6;2;5;N;2,1;538,11;0,975;1104,03;0,99
lokaliseren;1,25;3,17;0,75;0,08;0,75;0,58;Zien;0,46835443;3,17;1,10;3,263277554;2,4;low;#N/B;#N/B;#N/B;85;2,270909522;11;5;10;WW;2,45;531,08;0,951219512;1094,25;0,99
lokaliteit;1,00;1,55;0,27;0,73;0,64;0,18;Zien;0,3125;1,55;0,73;1,750054941;2;low;#N/B;#N/B;#N/B;0;1,460780666;10;4;9;N;2,45;536,40;0,95;1296,47;0,95
loket;1,40;4,00;0,00;0,00;1,10;0,00;Zien;0,615384615;4;1,08;4,083155159;4,266666667;high;6,17;high;van Loon;82;2,068469146;5;2;5;N;1,75;535,56;0,9;958,62;0,99
lokken;1,67;2,25;0,17;0,00;0,58;0,17;Zien;0,465517241;2,25;0,81;2,531755423;3;high;5,8;high;van Loon;511;2,774199522;6;2;4;WW;1;596,61;1;1019,03;1
lokmiddel;1,46;2,46;0,54;0,62;0,69;0,77;Zien;0,294117647;2,46;1,09;2,678336838;3,066666667;high;#N/B;#N/B;#N/B;10;2,709454542;9;3;8;N;2,65;592,51;0,825;1066,98;0,99
lokroep;4,00;0,60;0,30;0,00;0,50;0,90;Horen;0,634920635;4;1,05;4,022724818;3,071428571;high;#N/B;#N/B;#N/B;15;1,880723973;7;2;6;N;2,7;632,82;0,725;1145,45;0,97
lokvogel;1,82;2,91;0,00;0,00;0,09;0,00;Zien;0,603773585;2,91;0,80;3,128844654;3,266666667;high;#N/B;#N/B;#N/B;18;2,255321298;8;3;8;N;2,75;611,50;0,925;1053,21;0,99
lol;3,80;3,00;0,50;0,50;1,10;2,20;Horen;0,297297297;3,8;1,85;4,548463838;2,266666667;low;4;high;van Loon;2447;1,772287628;3;1;3;N;1;491,57;0,975;1069,99;0,97
lolbroek;2,55;2,64;0,27;0,00;1,00;1,45;Zien;0,333333333;2,64;1,32;3,388727086;2,333333333;low;#N/B;#N/B;#N/B;51;2,210048987;8;2;7;N;2,6;558,31;0,926829268;1020,47;0,99
lolletje;1,90;2,10;0,00;0,00;0,30;1,20;Zien;0,381818182;2,1;0,92;2,614660766;2,266666667;low;3,5;low;van Loon;67;1,430615793;8;3;7;N;1,35;573,78;0,9;1143,08;0,95
lollig;2,25;1,50;0,00;0,00;0,17;1,42;Horen;0,421875;2,25;0,89;2,601844152;2,266666667;low;#N/B;#N/B;#N/B;154;2,215124117;6;2;5;ADJ;1,7;533,07;0,951219512;977,64;0,99
lolly;0,42;4,17;2,25;4,83;3,00;0,92;Proeven;0,28342246;4,83;2,60;6,07754187;4,933333333;high;6,67;high;van Loon;71;1,945078637;5;2;4;N;1,9;575,97;0,975;1045,86;0,97
lomp;0,83;3,33;0,00;0,00;0,58;1,00;Zien;0,579710145;3,33;0,96;3,385818558;2,333333333;low;#N/B;#N/B;#N/B;118;2,493338942;4;1;4;ADJ;1,25;533,36;0,975609756;1025,72;0,99
lompen;0,00;2,75;0,38;0,00;1,25;0,13;Zien;0,611111111;2,75;0,75;2,83579419;3,153846154;high;4,47;high;van Loon;28;1,264885257;6;2;5;N;1,2;583,90;0,780487805;1101,33;0,9
lomperd;1,17;2,75;0,00;0,00;0,58;0,25;Zien;0,578947368;2,75;0,79;2,82724085;2,4;low;#N/B;#N/B;#N/B;19;1,312980531;7;2;7;N;1,75;560,19;0,8;1197,33;0,93
lomperik;1,33;3,42;0,67;0,00;1,42;0,92;Zien;0,440860215;3,42;1,29;3,587325039;2,533333333;low;#N/B;#N/B;#N/B;48;2,233013064;8;3;8;N;2,55;601,52;0,975;1125,4;0,98
lonen;0,00;2,00;0,00;0,00;0,83;0,25;Zien;0,648648649;2;0,51;2,048349153;2,133333333;low;2,87;low;van Loon;64;2,661474682;5;2;4;WW;1;536,78;0,951219512;1018,68;1
long;0,55;1,73;0,18;0,00;0,36;0,82;Zien;0,475;1,73;0,61;1,808738921;4,733333333;high;6,27;high;van Loon;414;2,059900938;4;1;3;N;1,35;518,60;0,902439024;1047,56;0,97
longen;2,00;3,20;0,00;0,00;1,40;1,90;Zien;0,376470588;3,2;1,42;3,693120892;4,4;high;5,5;high;van Loon;539;3,12177922;6;2;4;N;1,4;522,04;0,975;1012,16;1
longitudinaal;0,10;0,70;0,00;0,00;0,10;0,30;Zien;0,583333333;0,7;0,20;0,719196635;1,928571429;low;#N/B;#N/B;#N/B;0;0,721596996;13;5;12;ADJ;5,7;720,16;0,875;1806,2;0,73
longkanker;0,83;1,17;0,08;0,00;0,67;2,08;Sensaties;0,431034483;2,08;0,81;2,257557274;3,4;high;#N/B;#N/B;#N/B;60;2,887898051;10;3;9;N;3,4;533,66;1;1022,45;1
lonken;0,18;3,36;0,00;0,00;0,09;0,91;Zien;0,74;3,36;0,76;3,385824058;2,866666667;low;#N/B;#N/B;#N/B;22;1,905482623;6;2;5;WW;1;627,35;0,925;1049,54;0,96
lont;1,50;4,30;0,90;0,00;2,60;0,10;Zien;0,457446809;4,3;1,57;4,659897214;4,428571429;high;5,63;high;van Loon;122;2,007925035;4;1;4;N;1;576,27;0,9;1052,7;0,99
loochenen;2,45;0,73;0,00;0,00;0,00;0,73;Horen;0,627906977;2,45;0,65;2,496393497;1,785714286;low;#N/B;#N/B;#N/B;4;1,721994427;9;3;6;WW;2,45;627,22;0,85;1321,8;0,88
lood;0,25;2,50;0,25;0,33;2,08;0,08;Zien;0,439393939;2,5;0,92;2,913693115;4,466666667;high;5,73;high;van Loon;220;3,185130662;4;1;3;N;1,1;527,56;1;1004,71;1
loodgieter;0,54;2,08;0,23;0,00;0,92;0,31;Zien;0,509433962;2,08;0,68;2,150340976;3,666666667;high;#N/B;#N/B;#N/B;242;3,120274287;10;3;8;N;3;551,70;0,951219512;998,68;1
loodgrijs;0,00;4,60;0,00;0,00;0,00;0,00;Zien;1;4,6;0,77;4,6;3,666666667;high;#N/B;#N/B;#N/B;0;1,38509136;9;2;7;N;2,7;571,67;0,675;1436,9;0,89
loodje;0,18;2,45;0,00;0,00;1,09;0,00;Zien;0,658536585;2,45;0,62;2,524684101;3,133333333;high;#N/B;#N/B;#N/B;96;2,316556782;6;2;5;N;1,8;524,33;0,926829268;1072,82;0,99
loodlijn;0,00;3,73;0,00;0,00;0,00;0,00;Zien;1;3,73;0,62;3,727272727;3,615384615;high;#N/B;#N/B;#N/B;0;2,115977489;8;2;6;N;2,25;584,28;0,875;1209,84;0,97
loodrecht;0,00;4,27;0,09;0,00;0,73;0,00;Zien;0,839285714;4,27;0,85;4,27975304;4,066666667;high;6,5;high;de Deyne et al. 2019;11;2,478671796;9;2;7;ADJ;2,45;519,04;1;1178,56;0,99
loods;1,80;4,40;0,40;0,00;1,80;0,00;Zien;0,523809524;4,4;1,40;4,593311009;4,4;high;5,6;high;van Loon;116;2,817623274;5;1;4;N;1,45;511,39;0,975;972,49;1
loodsen;1,17;1,92;0,00;0,00;1,25;0,42;Zien;0,403508772;1,92;0,79;2,200448523;3,2;high;#N/B;#N/B;#N/B;62;2,372013627;7;2;5;WW;1,85;562,34;0,853658537;1049,69;0,99
loodvrij;0,09;1,64;0,27;0,18;0,09;0,00;Zien;0,72;1,64;0,38;1,639816875;2,866666667;low;#N/B;#N/B;#N/B;10;3,18466055;8;2;6;ADJ;2,75;542,92;1;1048,99;1
loodzwaar;0,40;2,30;0,00;0,00;4,30;1,40;Voelen;0,511904762;4,3;1,40;4,554594241;2,933333333;low;#N/B;#N/B;#N/B;37;3,174980152;9;2;7;ADJ;3,05;535,63;0,975609756;1053,92;0,99
loof;0,44;2,22;0,67;0,89;1,00;0,56;Zien;0,307692308;2,22;0,96;2,365229261;4,153846154;high;#N/B;#N/B;#N/B;27;1,711490285;4;1;3;N;1,05;584,89;0,853658537;1174,75;0,95
loofboom;0,45;3,73;0,64;0,00;1,55;0,00;Zien;0,585714286;3,73;1,06;3,821854502;4,466666667;high;#N/B;#N/B;#N/B;0;2,238631885;8;2;6;N;2,7;588,33;0,902439024;1161,38;0,96
loofbos;0,91;3,82;2,27;0,09;1,27;0,36;Zien;0,427083333;3,82;1,45;4,126468904;4,533333333;high;#N/B;#N/B;#N/B;0;2,108146433;7;2;6;N;2,95;640,66;0,7;1191,95;0,97
look;0,00;4,60;4,60;4,60;2,00;0,00;Joint;0,291139241;4,6;2,63;6,694389005;4,6;high;#N/B;#N/B;#N/B;167;2,00636187;4;1;3;N;1;553,34;0,975;1368,61;0,92
loom;0,67;2,83;0,00;0,00;0,42;3,00;Sensaties;0,43373494;3;1,15;3,686829351;2,714285714;low;#N/B;#N/B;#N/B;14;1,791840648;4;1;3;ADJ;1,15;608,61;0,925;1054,35;0,95
loon;0,15;2,00;0,00;0,00;1,08;0,92;Zien;0,481481481;2;0,69;2,157242157;3,066666667;high;4,97;high;van Loon;827;2,804985634;4;1;3;N;1;497,30;1;921,48;0,99
loondienst;0,42;0,75;0,00;0,00;0,17;0,17;Zien;0,5;0,75;0,25;0,795533559;2,4;low;#N/B;#N/B;#N/B;4;2,630694313;10;2;8;N;2,65;558,35;0,975;1058,94;0,99
loonfiche;0,00;3,80;0,00;0,00;0,80;0,30;Zien;0,775510204;3,8;0,82;3,812401771;4;high;#N/B;#N/B;#N/B;0;2,352222198;9;3;7;N;3,9;624,75;0,87804878;1332,93;0,79
loonlijst;0,31;3,31;0,00;0,00;0,31;0,00;Zien;0,843137255;3,31;0,65;3,309466397;3,333333333;high;#N/B;#N/B;#N/B;87;2,367936909;9;2;7;N;2,8;555,43;0,926829268;1035;0,99
loonwerker;1,10;2,20;0,00;0,00;0,70;0,00;Zien;0,55;2,2;0,67;2,309725672;2,8;low;#N/B;#N/B;#N/B;0;2,560744165;10;3;9;N;2,7;571,23;0,85;1093,29;0,99
loop;0,54;2,69;0,15;0,08;1,23;0,31;Zien;0,523076923;2,69;0,83;2,783618533;3,466666667;high;4,97;high;van Loon;5169;3,100543711;4;1;3;N;1;539,93;0,926829268;1064,52;1
loopbaan;0,73;0,64;0,00;0,00;0,18;0,36;Horen;0,380952381;0,73;0,32;0,886408461;2,4;low;#N/B;#N/B;#N/B;120;3,152728777;8;2;5;N;2,7;507,23;1;1002,62;1
loopbrug;0,20;4,00;0,00;0,00;1,10;0,00;Zien;0,754716981;4;0,88;4,027703519;4,466666667;high;#N/B;#N/B;#N/B;26;2,533458113;8;2;6;N;2,9;588,01;0,95;1053,84;0,99
loopgraaf;0,42;3,00;0,50;0,00;0,92;0,08;Zien;0,610169492;3;0,82;3,035437932;4,214285714;high;#N/B;#N/B;#N/B;55;1,585827796;9;2;7;N;2,65;586,64;0,902439024;1238,83;0,96
loopgracht;0,80;4,20;0,20;0,00;1,40;0,30;Zien;0,608695652;4,2;1,15;4,261289477;4,133333333;high;#N/B;#N/B;#N/B;0;2,124060145;10;2;8;N;3,25;644,63;0,875;1243,38;0,91
loopjongen;1,31;3,69;0,15;0,08;0,38;0,23;Zien;0,618421053;3,69;0,97;3,747933587;3;high;#N/B;#N/B;#N/B;96;2,521162747;10;3;7;N;2,85;551,14;1;1021,97;1
loopneus;0,64;3,27;0,55;0,18;1,91;1,18;Zien;0,4;3,27;1,29;3,532697765;4,4;high;#N/B;#N/B;#N/B;9;2,064381477;8;2;6;N;2,8;561,33;0,975;1038,03;1
looppas;1,83;3,58;0,00;0,00;0,33;1,17;Zien;0,518072289;3,58;1,15;3,775044981;3,533333333;high;#N/B;#N/B;#N/B;49;2,499131111;7;2;5;N;2,5;576,24;0,902439024;1075,98;0,99
looppiste;0,50;4,20;0,10;0,00;1,90;0,30;Zien;0,6;4,2;1,17;4,328528534;4,2;high;#N/B;#N/B;#N/B;0;1,978515531;9;3;7;N;3;722,58;0,780487805;1507,7;0,79
loopplank;0,25;3,67;0,17;0,17;1,33;0,42;Zien;0,583333333;3,67;1,00;3,726853307;4,333333333;high;#N/B;#N/B;#N/B;16;3,211364208;9;2;7;N;2,85;562,28;0,975609756;1084,29;1
loops;0,64;3,27;0,36;0,00;0,91;1,55;Zien;0,486486486;3,27;1,12;3,414289711;2,714285714;low;#N/B;#N/B;#N/B;23;1,973793775;5;1;4;ADJ;1,55;547,08;0,87804878;1073,67;0,97
loopvogel;0,83;3,17;0,08;0,00;0,92;0,42;Zien;0,584615385;3,17;0,90;3,213242797;4;high;#N/B;#N/B;#N/B;0;1,794203677;9;3;8;N;2,45;560,40;0,902439024;1136,05;0,96
loos;0,60;1,10;0,00;0,30;0,00;1,00;Zien;0,366666667;1,1;0,50;1,37046994;1,461538462;low;#N/B;#N/B;#N/B;373;1,988412373;4;1;3;ADJ;1;580,96;0,95;1051,77;0,98
lopen;1,08;2,75;0,08;0,00;1,50;0,67;Zien;0,452054795;2,75;1,01;2,952594176;3,933333333;high;6,6;high;van Loon;9689;2,836704717;5;2;4;WW;1;520,78;1;963,03;1
lopend;1,67;3,00;0,08;0,00;0,83;1,17;Zien;0,444444444;3;1,13;3,233147478;4,133333333;high;#N/B;#N/B;#N/B;203;2,698844536;6;2;6;ADJ;1,35;505,25;0,975;1022,11;0,99
loper;0,90;4,40;0,00;0,00;1,20;0,10;Zien;0,666666667;4,4;1,10;4,44192028;4,2;high;6,23;high;van Loon;190;2,636800168;5;2;5;N;1,4;546,68;1;1024,15;0,99
los;0,00;3,20;0,00;0,00;2,00;0,00;Zien;0,615384615;3,2;0,87;3,44170098;3,2;high;5,35;high;de Deyne et al. 2019;8081;3,180305305;3;1;3;ADJ;1;512,48;0,926829268;906,37;1
losbandig;1,08;2,00;0,17;0,42;0,67;1,33;Zien;0,323529412;2;0,94;2,290384958;1,666666667;low;#N/B;#N/B;#N/B;38;2,558388075;9;3;9;ADJ;2,7;590,97;0,975609756;1125,29;1
losbarsten;2,45;2,82;0,00;0,00;1,00;1,00;Zien;0,3875;2,82;1,21;3,396147553;2,6;low;#N/B;#N/B;#N/B;26;2,512590953;10;3;9;WW;2,5;555,70;0,902439024;1072,4;0,99
losbol;1,60;3,30;0,00;0,00;0,30;0,90;Zien;0,540983607;3,3;1,02;3,44229183;2,666666667;low;#N/B;#N/B;#N/B;28;2,16769697;6;2;6;N;2,6;575,15;0,853658537;1043,11;0,97
losbranden;1,08;2,54;1,31;0,15;0,69;0,92;Zien;0,356321839;2,54;1,12;2,757368538;2,933333333;low;#N/B;#N/B;#N/B;4;2,151689794;10;3;9;WW;2,1;587,79;0,951219512;1135,51;0,99
losbreken;2,00;3,33;0,08;0,00;1,83;1,25;Zien;0,392156863;3,33;1,42;3,759891581;3;high;#N/B;#N/B;#N/B;12;2,394328147;9;3;8;WW;2,15;533,56;0,975609756;1051,47;0,99
loser;1,67;2,25;0,00;0,00;0,00;1,75;Zien;0,397058824;2,25;0,94;2,775449902;2,866666667;low;#N/B;#N/B;#N/B;387;1,296004171;5;2;5;N;1,65;536,51;0,925;1458,45;0,88
losgeld;1,25;3,33;0,00;0,00;2,42;1,17;Zien;0,408163265;3,33;1,36;3,795843323;3;high;#N/B;#N/B;#N/B;377;2,674682062;7;2;7;N;1,95;512,14;1;1011,16;1
losgeslagen;2,08;3,25;0,08;0,25;0,67;2,17;Zien;0,37254902;3,25;1,42;3,776357518;2,4;low;#N/B;#N/B;#N/B;65;2,334685402;11;4;10;ADJ;2,6;637,68;0,853658537;1082,16;1
losjes;0,92;3,00;0,00;0,00;1,75;0,17;Zien;0,514285714;3;0,97;3,211878355;2,933333333;low;#N/B;#N/B;#N/B;58;2,403233281;6;2;6;ADJ;1,7;564,66;0,87804878;1003,14;1
loskomen;0,55;2,18;0,18;0,00;1,36;0,27;Zien;0,48;2,18;0,76;2,357974615;3,066666667;high;#N/B;#N/B;#N/B;29;2,122329231;8;3;7;WW;1,9;535,24;0,875;1063,74;0,99
loskoppelen;1,80;3,80;0,00;0,00;2,60;0,20;Zien;0,452380952;3,8;1,40;4,27791088;3,4;high;#N/B;#N/B;#N/B;35;2,564800437;11;4;9;WW;2,9;595,77;1;1045,7;1
loskrijgen;0,80;2,20;0,00;0,00;2,40;0,00;Voelen;0,444444444;2,4;0,90;2,923393815;3,266666667;high;#N/B;#N/B;#N/B;17;1,973300669;10;3;8;WW;2,55;584,06;0,902439024;1148,79;0,97
loslaten;1,15;2,69;0,08;0,08;2,15;1,62;Zien;0,336633663;2,69;1,29;3,279128905;3,133333333;high;5,23;high;van Loon;645;2,792382084;8;3;7;WW;1,9;519,68;0,975;1010,3;1
loslippig;2,83;1,50;0,17;0,42;0,33;0,58;Horen;0,457142857;2,83;0,97;2,978846391;2,266666667;low;#N/B;#N/B;#N/B;7;2,403388435;9;3;8;ADJ;3,3;620,18;0,775;1159,67;0,98
loslopen;0,83;2,42;0,08;0,00;0,67;1,17;Zien;0,467741935;2,42;0,86;2,549803717;3,333333333;high;5,7;high;van Loon;23;2,798912433;8;3;7;WW;1,85;511,24;0,975609756;1041,18;0,99
losmaken;0,31;2,77;0,00;0,00;2,23;0,38;Zien;0,486486486;2,77;0,95;3,188739868;3,666666667;high;5,07;high;van Loon;226;2,854773414;8;3;7;WW;1,85;503,83;1;1062,95;1
lospeuteren;1,10;2,10;0,00;0,00;2,30;0,20;Voelen;0,403508772;2,3;0,95;2,834231165;3,266666667;high;#N/B;#N/B;#N/B;7;2,531246136;11;4;9;WW;2,55;685,58;0,85;1094,27;1
losprijs;0,67;1,42;0,00;0,00;0,17;0,67;Zien;0,485714286;1,42;0,49;1,509626023;2,692307692;low;#N/B;#N/B;#N/B;9;1,06476396;8;2;7;N;2,5;594,81;0,756097561;1197,94;0,88
losraken;1,00;2,75;0,00;0,00;2,75;0,50;Joint;0,392857143;2,75;1,17;3,495743124;3,4;high;#N/B;#N/B;#N/B;3;2,0304397;8;3;7;WW;1,8;564,54;0,902439024;1162,44;0,99
losrukken;1,23;2,69;0,00;0,00;2,77;1,15;Voelen;0,352941176;2,77;1,31;3,534409593;3,333333333;high;#N/B;#N/B;#N/B;9;2,669541377;9;3;7;WW;2,15;620,88;0,95;1064,49;0,99
lossen;1,40;3,20;0,00;0,00;2,00;0,00;Zien;0,484848485;3,2;1,10;3,517248194;3,2;high;5,6;high;van Loon;1021;2,662088261;6;2;4;WW;1;547,68;1;966,37;0,99
lossnijden;1,15;2,46;0,31;0,38;1,77;0,23;Zien;0,353658537;2,46;1,05;2,805744664;4,133333333;high;#N/B;#N/B;#N/B;13;1,715719413;10;3;7;WW;2,85;641,28;0,875;1225,17;0,95
lot;0,17;1,17;0,00;0,00;0,50;1,75;Sensaties;0,488372093;1,75;0,60;1,919916771;2;low;5,13;high;van Loon;2630;2,497863867;3;1;3;N;1;511,72;0,975;994,59;0,99
loten;1,90;2,70;0,00;0,00;1,60;0,30;Zien;0,415384615;2,7;1,08;3,130023919;2,733333333;low;4,6;high;van Loon;62;1,965054937;5;2;4;WW;1;605,38;0,775;1093,15;0,98
loterij;1,20;2,70;0,00;0,00;1,00;0,00;Zien;0,551020408;2,7;0,82;2,819380848;3,666666667;high;#N/B;#N/B;#N/B;249;2,749124106;7;3;6;N;1,75;506,61;1;978,48;0,99
lotgenoot;1,90;2,00;0,00;0,00;0,60;1,80;Zien;0,317460317;2;1,05;2,754845452;2,666666667;low;#N/B;#N/B;#N/B;0;2,739710343;9;3;8;N;2,95;553,11;0,975;1066,09;1
lotgevallen;1,09;1,82;0,00;0,00;0,18;0,55;Zien;0,5;1,82;0,61;1,95543824;1,6;low;#N/B;#N/B;#N/B;3;1,533451612;11;4;9;N;2,75;663,21;0,8;1166,21;0,94
lotion;0,36;2,55;3,36;0,18;3,36;0,18;Joint;0,318181818;3,36;1,67;4,525219141;4,466666667;high;#N/B;#N/B;#N/B;58;2,035072661;6;3;6;N;2,3;556,35;0,87804878;1105,85;0,98
lotje;0,36;3,73;0,27;0,00;2,64;0,09;Zien;0,525641026;3,73;1,18;4,12470323;3,8;high;#N/B;#N/B;#N/B;34;2,131691197;5;2;5;N;1,4;597,80;0,951219512;1301,14;0,95
lotto;0,15;3,00;0,00;0,00;0,85;0,69;Zien;0,639344262;3;0,78;3,034464895;3,4;high;#N/B;#N/B;#N/B;94;2,580434078;5;2;4;N;1,85;523,89;0,975609756;1011,4;0,99
lotus;0,10;3,60;3,50;0,30;1,80;0,30;Zien;0,364583333;3,6;1,60;4,569585101;4,642857143;high;#N/B;#N/B;#N/B;31;2,437990925;5;2;5;N;1,95;524,12;0,902439024;1058,28;0,99
lotushouding;0,10;3,50;0,00;0,00;1,20;1,00;Zien;0,603448276;3,5;0,97;3,572736435;3,8;high;#N/B;#N/B;#N/B;0;2,209464327;12;4;10;N;4,3;772,69;0,725;1287,35;0,97
louche;1,33;2,67;0,00;0,00;0,50;1,75;Zien;0,426666667;2,67;1,04;2,993233205;1,733333333;low;#N/B;#N/B;#N/B;77;1,835070724;6;1;3;ADJ;1,85;608,66;0,9;1256,62;0,93
lounge;0,25;3,58;0,08;0,08;0,58;0,42;Zien;0,7;3,58;0,83;3,590784328;4;high;#N/B;#N/B;#N/B;71;2,080847316;6;1;5;N;2,2;642,84;0,85;1073,8;0,98
louter;0,18;0,18;0,00;0,00;0,00;0,00;Joint;0,5;0,18;0,06;0,229076555;1,133333333;low;2,05;low;de Deyne et al. 2019;102;2,024267811;6;2;5;ADJ;1,6;593,66;0,95;1031,47;0,97
louteren;0,13;1,63;0,00;0,00;0,50;1,00;Zien;0,5;1,63;0,54;1,756354449;2,2;low;#N/B;#N/B;#N/B;0;1,270021764;8;3;6;WW;1,75;547,79;0,804878049;1164,13;0,9
loven;3,00;2,83;0,25;0,00;0,58;1,50;Horen;0,367346939;3;1,36;3,764171344;2;low;4,3;high;van Loon;55;1,987098534;5;2;4;WW;1;566,02;0,804878049;1131,9;0,97
lovend;1,58;0,83;0,00;0,00;0,17;2,00;Sensaties;0,436363636;2;0,76;2,324048991;2;low;#N/B;#N/B;#N/B;31;2,03808384;6;2;6;ADJ;1,2;584,71;0,975;1068,38;0,99
loyaal;1,73;2,00;0,00;0,00;0,09;1,91;Zien;0,349206349;2;0,95;2,719472662;1,866666667;low;#N/B;#N/B;#N/B;235;2,602927022;6;2;5;ADJ;1,9;552,73;0,95;1031,78;0,99
loyalist;1,58;1,58;0,00;0,00;0,17;1,08;Joint;0,358490566;1,58;0,74;2,096494459;2,071428571;low;#N/B;#N/B;#N/B;2;1,486708897;8;3;8;N;2,7;572,39;0,87804878;1199,95;0,94
loyaliteit;2,08;1,50;0,00;0,00;0,50;1,58;Horen;0,367647059;2,08;0,94;2,546416809;1,666666667;low;#N/B;#N/B;#N/B;403;1,754418514;10;4;9;N;2,4;597,50;1;1040,36;0,98
lozen;0,27;1,91;0,00;0,00;1,27;0,18;Zien;0,525;1,91;0,61;2,083608612;3,266666667;high;5,77;high;van Loon;153;2,206961546;5;2;4;WW;1;620,38;0,829268293;1062,31;0,99
lucht;0,10;1,20;1,50;0,40;1,90;0,30;Voelen;0,333333333;1,9;0,90;2,292857489;3,866666667;high;5,82;high;van Loon;3892;2,572525634;5;1;4;N;1,5;526,49;1;926,04;1
luchtaanval;3,67;3,67;0,08;0,00;0,25;1,17;Joint;0,41509434;3,67;1,47;4,644631091;3,666666667;high;#N/B;#N/B;#N/B;137;2,513716085;11;3;9;N;3,9;545,40;0,975;1035,59;0,99
luchtafweer;1,64;2,09;0,36;0,00;0,55;0,18;Zien;0,433962264;2,09;0,80;2,395087972;3,230769231;high;#N/B;#N/B;#N/B;23;2,527010958;11;3;9;N;4;594,20;0,804878049;1150;0,98
luchtalarm;3,40;0,60;0,00;0,00;0,00;0,60;Horen;0,739130435;3,4;0,77;3,412411386;3,785714286;high;#N/B;#N/B;#N/B;12;2,256719932;10;3;9;N;3,75;575,89;0,87804878;1147,57;1
luchtballon;2,42;4,17;0,58;0,00;1,17;1,08;Zien;0,442477876;4,17;1,57;4,473254323;4,8;high;6,5625;high;de Deyne et al. 2008;22;2,582248955;11;3;9;N;3,5;523,57;1;1072,18;1
luchtbed;0,73;3,55;0,27;0,00;3,27;0,73;Zien;0,414893617;3,55;1,42;4,316221724;4,666666667;high;#N/B;#N/B;#N/B;12;2,226236262;8;2;7;N;2;566,37;0,975;1071,34;0,99
luchtbel;0,09;3,18;0,00;0,00;0,09;0,00;Zien;0,945945946;3,18;0,56;3,181867655;4,533333333;high;#N/B;#N/B;#N/B;45;2,676259386;8;2;7;N;2,1;534,66;1;1055,24;1
luchtbrug;1,50;3,60;0,00;0,00;0,00;0,30;Zien;0,666666667;3,6;0,90;3,68545544;2,666666667;low;#N/B;#N/B;#N/B;34;1,682101704;9;2;8;N;2,9;591,19;0,87804878;1261,39;0,96
luchtdicht;0,27;1,64;0,18;0,00;0,36;0,36;Zien;0,580645161;1,64;0,47;1,651468815;3;high;#N/B;#N/B;#N/B;24;2,142790389;10;2;7;ADJ;2,55;548,46;0,902439024;1177,22;0,99
luchtdruk;0,08;0,08;0,00;0,00;0,58;0,58;Joint;0,4375;0,58;0,22;0,735667494;3,066666667;high;#N/B;#N/B;#N/B;42;3,167071671;9;2;7;N;2,95;538,04;1;1016,17;1
luchten;1,33;1,67;0,83;0,00;0,67;0,58;Zien;0,327868852;1,67;0,85;2,006105954;2,933333333;low;4,9;high;van Loon;146;3,143930505;7;2;5;WW;1,45;548,72;1;1081,36;1
luchter;0,00;3,00;0,17;0,00;1,42;0,58;Zien;0,580645161;3;0,86;3,108830055;4,071428571;high;4;high;van Loon;4;1,473555771;7;2;6;N;1,8;609,66;0,825;1368,8;0,85
luchtfoto;0,00;4,70;0,00;0,00;0,80;0,00;Zien;0,854545455;4,7;0,92;4,707713304;4,6;high;#N/B;#N/B;#N/B;1;2,538115762;9;3;8;N;3,15;573,01;1;1001,91;1
luchthartig;0,60;0,90;0,00;0,00;0,10;1,50;Sensaties;0,483870968;1,5;0,52;1,628776228;2;low;#N/B;#N/B;#N/B;5;1,09793612;11;3;10;ADJ;2,6;587,10;0,87804878;1172,97;0,92
luchthaven;3,18;3,82;0,27;0,00;1,00;0,00;Zien;0,461538462;3,82;1,38;4,463010672;4,133333333;high;#N/B;#N/B;#N/B;318;2,62517916;10;3;8;N;2,4;515,98;0,975609756;938,56;0,99
