Woord;Horen;Zien;Ruiken;Proeven;Voelen;Sensaties;Modality;ModalityExclusivity;MaxPercStrength;AvModalityStrength;Minkowski3;Concreteness;ConcretenessCategory;Imageability;ImageabilityCategory;SourceImageability;Frequency;Prevalence;Length;Nsyl;N_phonemes;PoS;OLD20;DLP_RT;DLP_Acc;DCP_RT;DCP_Acc
effectief;0,30;1,10;0,00;0,00;0,00;0,40;Zien;0,611111111;1,1;0,30;1,124518312;1,714285714;low;2,75;low;de Deyne et al. 2019;227;2,820208984;9;3;7;ADJ;2,4;548,79;1;1032,54;1
effectiviteit;1,31;2,15;0,00;0,00;0,38;0,92;Zien;0,451612903;2,15;0,79;2,355635251;1,466666667;low;#N/B;#N/B;#N/B;19;1,994489901;13;5;11;N;3,9;609,02;0,95;1298,16;0,98
effen;0,42;3,50;0,00;0,00;2,00;0,17;Zien;0,575342466;3,5;1,01;3,707265189;3,4;high;4,2;high;de Deyne et al. 2019;23;1,716469195;5;2;3;ADJ;1,7;627,89;0,9;1205,79;0,94
effenen;0,73;2,27;0,00;0,00;1,45;0,45;Zien;0,462962963;2,27;0,82;2,48228905;2,785714286;low;#N/B;#N/B;#N/B;9;1,907048373;7;3;5;WW;2,05;584,65;0,829268293;1270,69;0,95
efficiënt;1,00;1,62;0,08;0,08;0,23;1,00;Zien;0,384615385;1,62;0,67;1,839900495;1,4;low;3,05;low;de Deyne et al. 2019;161;2,542484002;9;4;9;ADJ;2,95;501,79;1;1069,41;0,99
efficiëntie;1,09;2,18;0,00;0,00;0,18;0,45;Zien;0,558139535;2,18;0,65;2,275632648;1,4;low;#N/B;#N/B;#N/B;39;2,523319504;11;5;10;N;2,95;568,33;1;1314,61;0,99
egaal;0,50;4,08;0,00;0,00;2,92;0,33;Zien;0,521276596;4,08;1,31;4,531594453;3,133333333;high;5,4;high;de Deyne et al. 2019;13;1,904587047;5;2;4;ADJ;1,85;578,82;0,95;1075,1;0,98
egaliseren;1,25;3,08;0,25;0,50;1,17;0,08;Zien;0,473684211;3,08;1,06;3,207384326;2,6;low;#N/B;#N/B;#N/B;0;2,321534695;10;5;9;WW;2,5;609,21;0,925;1091,95;0,99
egalitair;0,50;1,75;0,00;0,00;0,13;0,75;Zien;0,56;1,75;0,52;1,807805927;1,5;low;#N/B;#N/B;#N/B;3;0,975540399;9;4;8;ADJ;3,2;662,08;0,756097561;1665,59;0,82
egel;0,08;3,31;0,54;0,00;2,69;0,62;Zien;0,457446809;3,31;1,21;3,827996467;4,866666667;high;6,382352941;high;de Deyne et al. 2008;25;2,74735481;4;2;4;N;1,35;517,03;0,975609756;960,02;1
ego;1,45;1,55;0,00;0,00;0,00;2,55;Sensaties;0,459016393;2,55;0,92;2,854602497;1,266666667;low;#N/B;#N/B;#N/B;349;2,48494789;3;2;3;N;1,7;526,12;0,95;926,56;0,99
egocentrisch;2,09;1,64;0,00;0,00;0,00;2,36;Sensaties;0,388059701;2,36;1,02;2,989892803;1,666666667;low;#N/B;#N/B;#N/B;45;2,828266009;12;4;10;ADJ;2,55;624,19;1;1120,07;0,99
egocentrisme;1,92;1,69;0,08;0,08;0,08;2,92;Sensaties;0,420454545;2,92;1,13;3,330294099;1,333333333;low;#N/B;#N/B;#N/B;0;2,320200565;12;5;12;N;3,65;614,44;0,95;1374,61;0,97
egoïsme;2,20;2,60;0,00;0,00;0,20;2,80;Sensaties;0,358974359;2,8;1,30;3,688545045;1,6;low;#N/B;#N/B;#N/B;42;2,696273091;7;4;8;N;2,9;504,81;1;1035,36;0,99
egoïst;1,09;2,09;0,09;0,45;0,36;1,27;Zien;0,372881356;2,09;0,89;2,329664696;2,333333333;low;#N/B;#N/B;#N/B;86;2,434239393;6;3;7;N;3,25;520,64;1;1023,88;1
egoïstisch;2,42;2,25;0,00;0,00;0,17;1,92;Horen;0,358024691;2,42;1,13;3,192899204;1,8;low;4;high;de Deyne et al. 2019;400;2,538993993;10;4;9;ADJ;3,35;519,51;0,975609756;1130,04;1
egotrip;1,88;0,75;0,00;0,00;0,13;1,25;Horen;0,46875;1,88;0,67;2,077673527;1,5;low;#N/B;#N/B;#N/B;5;1,43217991;7;3;7;N;2,9;673,52;0,780487805;1171,8;0,94
egotripper;2,20;2,30;0,00;0,00;0,00;1,60;Zien;0,37704918;2,3;1,02;2,996700075;2,333333333;low;#N/B;#N/B;#N/B;11;2,066177625;10;4;9;N;3,5;629,58;0,775;1133,54;0,98
ei;0,50;3,83;3,08;3,92;2,92;0,50;Proeven;0,231638418;3,92;2,46;5,548187687;5;high;6,77;high;van Loon;708;2,571459296;2;1;1;N;1;498,53;0,975;945,21;1
eicel;0,36;2,00;0,00;0,00;0,00;1,09;Zien;0,578947368;2;0,58;2,10643199;4,4;high;4,6;high;van Loon;13;2,504247358;5;2;4;N;1,9;548,17;0,87804878;1045,18;0,99
eierdooier;0,10;4,00;1,30;3,70;1,30;0,20;Zien;0,367924528;4;1,77;4,919456172;4,666666667;high;#N/B;#N/B;#N/B;2;2,114625753;10;4;9;N;3,2;588,31;0,926829268;1119,97;0,99
eierdop;0,55;3,36;0,00;0,09;2,55;0,00;Zien;0,513888889;3,36;1,09;3,79630866;4,6;high;#N/B;#N/B;#N/B;0;2,494988;7;3;7;N;2,8;562,89;0,925;1116,25;0,99
eierdopje;0,54;4,00;0,46;0,69;2,38;0,08;Zien;0,481132075;4;1,36;4,275333143;4,666666667;high;6,43;high;van Loon;0;2,450293028;9;4;9;N;3,35;595,65;1;1156,57;0,99
